time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
0.0000,-0.220982,0.707697,-0.273761,-1.427329,0.816511,-0.429613,-0.399032,1.117443,-0.498378,0.151978,-0.475373,0.295421,-1.568741,0.121749,0.013322,-0.637046,0.871330,-0.355812
0.0334,-0.107378,0.771063,-0.072194,-1.769841,0.732457,-0.487054,-0.454116,1.012651,-0.435086,0.244405,-0.476867,0.188876,-1.800000,0.087355,-0.012684,-0.767954,0.878437,-0.313378
0.0668,-0.047032,0.837235,0.007488,-1.800000,0.783957,-0.522606,-0.399300,0.964602,-0.446692,0.247265,-0.473736,0.184976,-1.800000,0.103093,-0.033658,-0.789003,0.884477,-0.299919
0.1001,-0.000656,0.902446,0.050960,-1.800000,0.852885,-0.561296,-0.323833,0.916775,-0.449976,0.258461,-0.472042,0.191314,-1.800000,0.119451,-0.053923,-0.797317,0.885628,-0.290745
0.1335,0.047472,0.951173,0.100273,-1.800000,0.898860,-0.590012,-0.260106,0.876540,-0.448444,0.267917,-0.473476,0.193191,-1.800000,0.125793,-0.070237,-0.810370,0.888965,-0.283156
0.1669,0.097079,0.984657,0.145554,-1.800000,0.903532,-0.593438,-0.236766,0.861491,-0.465870,0.279102,-0.477619,0.178468,-1.800000,0.124794,-0.084658,-0.830381,0.900523,-0.278703
0.2003,0.147091,0.993072,0.172877,-1.800000,0.904848,-0.582331,-0.238046,0.882360,-0.492532,0.289231,-0.474955,0.158389,-1.800000,0.120959,-0.093146,-0.846334,0.927806,-0.283020
0.2336,0.202446,0.935362,0.198154,-1.800000,0.894045,-0.572753,-0.255677,0.928139,-0.516860,0.287795,-0.462387,0.136880,-1.800000,0.100678,-0.087024,-0.857987,0.958386,-0.299035
0.2670,0.261734,0.833619,0.197621,-1.800000,0.872541,-0.550650,-0.302698,1.011008,-0.543099,0.263963,-0.420731,0.124531,-1.800000,0.072063,-0.066687,-0.863625,1.010413,-0.326467
0.3004,0.288067,0.710082,0.161224,-1.800000,0.818546,-0.514494,-0.375150,1.086504,-0.558960,0.185319,-0.346318,0.124851,-1.800000,0.026312,-0.027500,-0.848336,1.055970,-0.362942
0.3338,0.271318,0.616435,0.065169,-1.800000,0.726936,-0.443147,-0.463187,1.128542,-0.567175,-0.006581,-0.282362,0.123053,-1.800000,-0.046890,0.059181,-0.783808,1.073883,-0.413041
0.3671,0.217172,0.567480,-0.062401,-1.799979,0.586582,-0.349885,-0.556758,1.138691,-0.552090,-0.315752,-0.299518,0.104278,-1.800000,-0.187424,0.196950,-0.679648,1.072643,-0.463230
0.4005,0.160309,0.546318,-0.164500,-1.799957,0.426729,-0.234059,-0.630891,1.135734,-0.515410,-0.608677,-0.411650,0.095879,-1.800000,-0.404125,0.351479,-0.497618,1.058910,-0.513062
0.4339,0.133914,0.570047,-0.177773,-1.800000,0.291678,-0.121036,-0.720271,1.116824,-0.440111,-0.796917,-0.565366,0.077676,-1.724175,-0.531775,0.439972,-0.348967,1.011795,-0.505390
0.4673,0.189164,0.586926,-0.086028,-1.800000,0.209032,-0.062049,-0.769729,1.076578,-0.367589,-1.002881,-0.680680,0.039214,-1.261217,-0.548323,0.447411,-0.313184,0.976649,-0.471092
0.5006,0.294327,0.539802,0.046911,-1.800000,0.141293,-0.034317,-0.806902,1.042059,-0.301265,-1.140700,-0.808382,0.025847,-0.779738,-0.567601,0.431895,-0.319115,0.961797,-0.425551
0.5340,0.389648,0.465986,0.158050,-1.800000,0.105070,0.031398,-0.837051,1.009907,-0.260856,-1.128973,-0.995944,0.102723,-0.689315,-0.587902,0.456481,-0.281553,0.925334,-0.410738
0.5674,0.446584,0.399774,0.176019,-1.800000,0.051228,0.114542,-0.857083,0.993852,-0.248777,-1.001651,-1.076892,0.008615,-0.893589,-0.629370,0.462481,-0.260332,0.925914,-0.434596
0.6008,0.461267,0.367566,0.124024,-1.800000,-0.000103,0.176329,-0.866117,1.008547,-0.251764,-0.856090,-1.139681,-0.090304,-1.083544,-0.693258,0.460067,-0.249453,0.949781,-0.465783
