time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
0.0000,-0.480274,0.178246,-0.441080,-0.493803,0.129512,-0.414232,0.137966,0.118851,-0.240833,0.226614,-0.306507,0.167756,-0.385799,-0.124593,0.102330,-0.805561,1.357898,-0.111987
0.0334,-0.560400,0.151808,-0.461023,-0.585796,0.062176,-0.413622,0.029254,0.225926,-0.297736,0.289963,-0.340087,0.078146,-0.541236,-0.095564,0.057873,-0.993119,1.314737,-0.132915
0.0668,-0.618672,0.144101,-0.499205,-0.600591,0.069579,-0.369234,-0.007933,0.308102,-0.345098,0.291913,-0.306581,0.044564,-0.557550,-0.014973,0.000034,-0.963175,1.031754,-0.122923
0.1001,-0.656829,0.125240,-0.512198,-0.612365,0.059654,-0.358588,-0.004800,0.333883,-0.377924,0.277107,-0.300506,0.017900,-0.556992,0.003709,0.027894,-0.933196,0.774309,-0.125923
0.1335,-0.678141,0.112666,-0.512690,-0.619056,0.044277,-0.349801,0.002814,0.345391,-0.398138,0.248424,-0.299889,0.009144,-0.550349,0.024986,0.073000,-0.894155,0.525405,-0.078651
0.1669,-0.670619,0.107173,-0.509517,-0.628493,0.037722,-0.343506,0.013507,0.403412,-0.440385,0.224175,-0.309031,0.006055,-0.553234,0.043621,0.064236,-0.915235,0.485701,-0.104109
0.2003,-0.646960,0.104537,-0.514869,-0.624179,0.049534,-0.326540,0.021065,0.486853,-0.477493,0.198228,-0.301010,0.002907,-0.550791,0.063772,0.039250,-0.903200,0.507757,-0.104013
0.2336,-0.604241,0.107933,-0.529149,-0.605057,0.076143,-0.299618,0.023713,0.603040,-0.514590,0.173508,-0.283818,0.006562,-0.549447,0.087999,-0.037278,-0.885718,0.585643,-0.108763
0.2670,-0.553229,0.126098,-0.547868,-0.582431,0.101159,-0.271958,0.005104,0.751506,-0.522074,0.144975,-0.292757,0.039250,-0.542994,0.085013,-0.054804,-0.900345,0.707049,-0.100734
0.3004,-0.479533,0.145192,-0.558249,-0.542061,0.154763,-0.245570,-0.041454,0.965832,-0.479821,0.112922,-0.284517,0.068447,-0.533637,0.086051,-0.015545,-0.903705,0.847335,-0.156416
